ticket,open_time,close_time,signal_time,origin_bar,leg,entry_bar,exit_bar,entry_price,exit_price,exit_reason,pl_pct,R,bars_held,row_id,chunk,probability_random_kfold,fold_random_kfold,probability_grouped_kfold,fold_grouped_kfold,probability_walk_forward,fold_walk_forward,probability_purged_walk_forward,fold_purged_walk_forward
7034,2021-09-07 07:45:00,2021-09-07 08:15:00,2021-09-07 07:00:00,88658,3,88661,88663,52326,52012.044,Stop,-0.6,-1,2,11639,3,0.600947137888,2,0.566731271656,2,0.582600453991,2,0.558952166143,2
7035,2021-09-07 08:30:00,2021-09-07 09:30:00,2021-09-07 08:30:00,88664,0,88664,88668,51412.5,51104.025,Stop,-0.6,-1,4,11640,3,0.147331817067,3,0.138512422439,4,0.49248700282,2,0.506827754608,2
7036,2021-09-07 08:45:00,2021-09-07 09:30:00,2021-09-07 08:30:00,88664,1,88665,88668,51215.6,50908.3064,Stop,-0.6,-1,3,11641,3,0.38582732913,2,0.101882636404,4,0.642319726532,2,0.545432172672,2
7037,2021-09-07 09:00:00,2021-09-07 09:30:00,2021-09-07 08:30:00,88664,2,88666,88668,51160.1,50853.1394,Stop,-0.6,-1,2,11642,3,0.329322814581,3,0.186771054531,4,0.568398064137,2,0.649086528538,2
7038,2021-09-07 09:15:00,2021-09-07 09:30:00,2021-09-07 08:30:00,88664,3,88667,88668,51276.4,50968.7416,Stop,-0.6,-1,1,11643,3,0.325145612425,3,0.297050939751,4,0.693824571256,2,0.58739215461,2
7039,2021-09-09 09:00:00,2021-09-09 10:00:00,2021-09-09 09:00:00,88858,0,88858,88862,46238.8,45961.3672,Stop,-0.6,-1,4,11644,3,0.303898974179,1,0.312981925729,4,0.595928899645,2,0.650061019578,2
7040,2021-09-09 09:15:00,2021-09-09 10:00:00,2021-09-09 09:00:00,88858,1,88859,88862,46329.7,46051.7218,Stop,-0.6,-1,3,11645,3,0.325031346734,4,0.22269186443,4,0.672672933429,2,0.680471730201,2
7041,2021-09-09 09:30:00,2021-09-09 10:00:00,2021-09-09 09:00:00,88858,2,88860,88862,46270.8,45993.1752,Stop,-0.6,-1,2,11646,3,0.342159046843,1,0.259890634439,4,0.734335967959,2,0.701338823186,2
7042,2021-09-09 09:45:00,2021-09-09 10:00:00,2021-09-09 09:00:00,88858,3,88861,88862,46236.2,45958.7828,Stop,-0.6,-1,1,11647,3,0.352215532889,3,0.258951275725,4,0.668338222809,2,0.590863025168,2
7043,2021-09-09 15:00:00,2021-09-09 18:00:00,2021-09-09 15:00:00,88882,0,88882,88894,46906,46624.564,Stop,-0.6,-1,12,11648,3,0.474530669201,4,0.367751386536,4,0.726218853177,2,0.690307943327,2
