leg,origin_bar,entry_time,entry_price,atr_frozen,momentum_prev,momentum_prev2,vwap_prev,vwap_prev2,upper_barrier,lower_barrier,label,bars_to_label,exit_touch_time
2,102452,2022-01-30 21:00:00,37717.10000000,127.39000000,99.66732830,99.68529405,37935.38235678,37935.19813319,38201.18200000,37490.79740000,0,2,2022-01-30 21:20:00
3,102452,2022-01-30 21:15:00,37595.90000000,127.56000000,99.66732830,99.68529405,37935.38235678,37935.19813319,38080.62800000,37370.32460000,1,8,2022-01-30 23:06:00
0,102467,2022-01-31 00:15:00,37717.10000000,134.76888889,100.12662798,100.57250135,37950.20691242,37949.79346083,38229.22177778,37490.79740000,0,2,2022-01-31 00:42:00
1,102467,2022-01-31 00:30:00,37717.10000000,133.99111111,100.12662798,100.57250135,37950.20691242,37949.79346083,38226.26622222,37490.79740000,0,1,2022-01-31 00:42:00
2,102467,2022-01-31 00:45:00,37128.80000000,139.69555556,100.12662798,100.57250135,37950.20691242,37949.79346083,37659.64311111,36906.02720000,0,1,2022-01-31 00:47:00
3,102467,2022-01-31 01:00:00,36806.50000000,142.34444444,100.12662798,100.57250135,37950.20691242,37949.79346083,37347.40888889,36585.66100000,1,45,2022-01-31 12:01:00
0,102535,2022-01-31 17:15:00,38410.80000000,169.42111111,103.05274906,103.15579888,37663.68645031,37661.88581250,39054.60022222,38180.33520000,0,35,2022-02-01 01:46:00
1,102535,2022-01-31 17:30:00,38329.30000000,170.73111111,103.05274906,103.15579888,37663.68645031,37661.88581250,38978.07822222,38099.32420000,0,50,
2,102535,2022-01-31 17:45:00,38381.30000000,168.60666667,103.05274906,103.15579888,37663.68645031,37661.88581250,39022.00533333,38151.01220000,0,33,2022-02-01 01:50:00
3,102535,2022-01-31 18:00:00,38447.20000000,168.68777778,103.05274906,103.15579888,37663.68645031,37661.88581250,39088.21355556,38216.51680000,0,10,2022-01-31 20:18:00
