ticket,signal_time,leg,open_time,close_time,entry_price,exit_price,exit_reason,pl_pct,R,bars_held
24294,2024-11-28 04:15:00,1,2024-11-28 04:30:00,2024-11-28 06:00:00,95802.2000,95227.3868,Stop,-0.6000,-1.0000,6
24295,2024-11-28 04:15:00,2,2024-11-28 04:45:00,2024-11-28 06:00:00,95809.7000,95234.8418,Stop,-0.6000,-1.0000,5
24296,2024-11-28 04:15:00,3,2024-11-28 05:00:00,2024-11-28 06:00:00,95816.7000,95241.7998,Stop,-0.6000,-1.0000,4
24297,2024-11-28 10:00:00,0,2024-11-28 10:00:00,2024-11-28 16:45:00,94981.7000,94870.4796,Stop,-0.1171,-0.1952,27
24298,2024-11-28 10:00:00,1,2024-11-28 10:15:00,2024-11-28 16:45:00,94823.2000,94867.1862,Stop,0.0464,0.0773,26
24299,2024-11-28 10:00:00,2,2024-11-28 10:30:00,2024-11-28 16:45:00,94933.2000,94860.8529,Stop,-0.0762,-0.1270,25
24300,2024-11-28 10:00:00,3,2024-11-28 10:45:00,2024-11-28 16:45:00,95126.7000,94862.4151,Stop,-0.2778,-0.4630,24
24301,2024-11-28 17:00:00,0,2024-11-28 17:00:00,2024-11-29 17:00:00,94969.7000,97453.4976,Stop,2.6154,4.3589,96
24302,2024-11-28 17:00:00,1,2024-11-28 17:15:00,2024-11-29 17:00:00,95067.7000,97457.6353,Stop,2.5139,4.1899,95
24303,2024-11-28 17:00:00,2,2024-11-28 17:30:00,2024-11-29 17:00:00,95229.2000,97460.2109,Stop,2.3428,3.9046,94
24304,2024-11-28 17:00:00,3,2024-11-28 17:45:00,2024-11-29 17:00:00,94850.2000,97456.9176,Stop,2.7482,4.5804,93
24305,2024-11-29 17:15:00,0,2024-11-29 17:15:00,2024-11-29 20:45:00,97205.2000,97389.7000,Friday,0.1898,0.3163,14
24306,2024-11-29 17:15:00,1,2024-11-29 17:30:00,2024-11-29 20:45:00,97082.7000,97389.7000,Friday,0.3162,0.5270,13
24307,2024-11-29 17:15:00,2,2024-11-29 17:45:00,2024-11-29 20:45:00,97165.7000,97389.7000,Friday,0.2305,0.3842,12
24308,2024-11-29 17:15:00,3,2024-11-29 18:00:00,2024-11-29 20:45:00,97021.7000,97389.7000,Friday,0.3793,0.6322,11
24309,2024-11-29 21:00:00,0,2024-11-29 21:00:00,2024-11-29 21:00:00,97386.7000,97396.7000,Friday,0.0103,0.0171,0
24310,2024-11-29 21:15:00,0,2024-11-29 21:15:00,2024-11-29 21:15:00,97398.2000,97282.7000,Friday,-0.1186,-0.1976,0
24311,2024-11-29 21:00:00,1,2024-11-29 21:15:00,2024-11-29 21:15:00,97398.2000,97282.7000,Friday,-0.1186,-0.1976,0
