breakeven_R,atr14_pct,atr_ratio_14_90,vol20,vol200,vol_ratio_20_200,range_pct,dist_ema20_atr,dist_ema50_atr,dist_ema200_atr,ret20_atr,ret50_atr,pos_in_range50,dist_hh20_atr,mom14,mom_diff,vwap_dist_atr,vwap_slope_atr,rsi14,vol_ratio_volume,gap_open_atr,hour,dow,label,entry_time,label_end_time,origin_bar,entry_bar,entry_price,leg,entry_vs_base_R
2.61607330,0.00395836,0.95824769,0.00248065,0.00510378,0.48604216,0.00626675,-0.58834372,-1.21360710,-0.29032519,-0.88444950,-2.80937101,0.38521200,-2.25870338,99.53960378,0.45802672,0.28299641,0.04560481,42.46370490,1.45119084,0.01159300,14,2,0,2025-01-22 14:30:00,2025-01-22 14:46:00,198426,198428,104604.40000000,2,0.94425393
2.51654689,0.00447049,1.12508889,0.00260126,0.00511055,0.50899906,0.00844336,-1.34155502,-1.95882837,-1.20564430,-2.12278710,-3.60727764,0.20750139,-2.96812199,99.19370968,-0.34589410,-0.74393701,0.03599619,38.15148631,1.89329465,-0.00214770,14,2,0,2025-01-22 14:45:00,2025-01-22 16:42:00,198426,198429,104151.80000000,3,0.21903871
2.52289915,0.00640389,1.60755477,0.00333651,0.00513529,0.64972193,0.00710461,-1.50425162,-2.14342895,-1.94232457,-2.48649232,-3.46510875,0.03655512,-3.24926636,98.55358724,-0.23733048,-1.84047710,0.01605696,33.70562083,1.52833645,0.00377611,16,2,0,2025-01-22 16:45:00,2025-01-23 01:49:00,198437,198437,103386.10000000,0,0.00000000
2.51932113,0.00662572,1.66566583,0.00342240,0.00513822,0.66606773,0.00526706,-0.94356580,-1.59394139,-1.45057433,-2.00700930,-2.98452547,0.14363629,-2.72493188,98.87715041,0.32356317,-1.38520399,0.01822317,37.92615385,1.40423435,-0.00218391,17,2,0,2025-01-22 17:00:00,2025-01-23 00:26:00,198437,198438,103661.70000000,1,0.44428925
2.48012189,0.00652483,1.66616166,0.00344899,0.00513799,0.67127245,0.00543081,-0.31774780,-0.96945769,-0.85541939,-1.97700593,-1.92325493,0.29985888,-2.15298523,99.55004247,0.67289206,-0.82893154,0.03103482,45.28411597,1.23537804,0.00397610,17,2,0,2025-01-22 17:15:00,2025-01-23 00:18:00,198437,198439,104075.50000000,2,1.11136797
2.47252941,0.00618718,1.58485087,0.00347712,0.00513405,0.67726734,0.00313290,-0.10084295,-0.76649887,-0.67094573,-1.70392033,-2.04820932,0.35474274,-1.87590974,100.20094666,0.65090419,-0.68530945,0.03551534,52.27381522,1.00673436,-0.00186102,17,2,0,2025-01-22 17:30:00,2025-01-22 21:21:00,198437,198440,104215.50000000,3,1.33705917
2.97386213,0.01088155,2.31698707,0.00775013,0.00389439,1.99007752,0.01428911,1.94230865,2.53407589,2.03974259,3.50034684,3.14968784,0.84982166,-0.73383461,104.36308492,-0.52654647,1.97771024,0.01856385,73.02384070,1.75010524,0.01664850,16,3,0,2025-01-23 16:30:00,2025-01-23 16:50:00,198532,198532,106002.00000000,0,0.00000000
2.98811085,0.01112911,2.35888668,0.00773036,0.00376295,2.05433757,0.00617645,1.77930989,2.44497072,2.04128373,3.54955947,3.30955608,0.86426632,-0.64800068,104.35178717,-0.01129775,1.99278181,0.00841139,73.00251701,1.28002839,-0.00228736,16,3,0,2025-01-23 16:45:00,2025-01-23 16:50:00,198532,198533,106061.50000000,1,0.09355169
3.07289946,0.01185080,2.44260030,0.00809763,0.00380141,2.13016378,0.01282921,0.84488797,1.50316424,1.17027461,2.60626770,2.74898233,0.69801075,-1.36598287,103.63710211,-0.71468506,1.12775543,0.00832658,67.82594411,1.52299004,-0.00401335,17,3,0,2025-01-23 17:00:00,2025-01-23 17:02:00,198534,198534,105122.30000000,0,0.00000000
3.07289946,0.01185080,2.44260030,0.00809763,0.00380141,2.13016378,0.01282921,0.84488797,1.50316424,1.17027461,2.60626770,2.74898233,0.69801075,-1.36598287,103.63710211,-0.71468506,1.12775543,0.00832658,67.82594411,1.52299004,-0.00401335,17,3,0,2025-01-23 17:00:00,2025-01-23 17:02:00,198532,198534,105122.30000000,2,-1.38315000
3.12692248,0.01204585,2.43957546,0.00815537,0.00380885,2.14116382,0.00883795,0.46205191,1.11530901,0.82377609,2.40148358,2.37944507,0.62553901,-1.67286523,102.57759275,-1.05950936,0.78711088,0.00295054,63.01745290,1.50211910,0.00737259,17,3,0,2025-01-23 17:15:00,2025-01-23 19:49:00,198535,198535,104728.20000000,0,0.00000000
3.12692248,0.01204585,2.43957546,0.00815537,0.00380885,2.14116382,0.00883795,0.46205191,1.11530901,0.82377609,2.40148358,2.37944507,0.62553901,-1.67286523,102.57759275,-1.05950936,0.78711088,0.00295054,63.01745290,1.50211910,0.00737259,17,3,0,2025-01-23 17:15:00,2025-01-23 19:49:00,198534,198535,104728.20000000,1,-0.62482778
3.12692248,0.01204585,2.43957546,0.00815537,0.00380885,2.14116382,0.00883795,0.46205191,1.11530901,0.82377609,2.40148358,2.37944507,0.62553901,-1.67286523,102.57759275,-1.05950936,0.78711088,0.00295054,63.01745290,1.50211910,0.00737259,17,3,0,2025-01-23 17:15:00,2025-01-23 19:49:00,198532,198535,104728.20000000,3,-2.00279240
3.11257598,0.01207162,2.45620656,0.00818039,0.00379835,2.15367184,0.00659781,0.80184543,1.47456203,1.23294774,2.85530872,2.60575842,0.72194914,-1.23311373,102.76711716,0.18952441,1.20404498,0.00489609,63.74525950,1.39495381,0.00251833,17,3,0,2025-01-23 17:30:00,2025-01-23 19:16:00,198535,198536,105265.40000000,1,0.85491141
3.11257598,0.01207162,2.45620656,0.00818039,0.00379835,2.15367184,0.00659781,0.80184543,1.47456203,1.23294774,2.85530872,2.60575842,0.72194914,-1.23311373,102.76711716,0.18952441,1.20404498,0.00489609,63.74525950,1.39495381,0.00251833,17,3,0,2025-01-23 17:30:00,2025-01-23 19:16:00,198534,198536,105265.40000000,2,0.22687860
3.10355088,0.01215816,2.48102502,0.00815618,0.00380441,2.14387337,0.00460904,0.95390134,1.65266751,1.46625294,3.17634819,2.72770264,0.78134261,-0.95975876,103.29820504,0.53108788,1.44605309,0.00632998,66.14410756,1.26647896,0.00194725,17,3,0,2025-01-23 17:45:00,2025-01-23 19:05:00,198535,198537,105599.40000000,2,1.38644606
3.10355088,0.01215816,2.48102502,0.00815618,0.00380441,2.14387337,0.00460904,0.95390134,1.65266751,1.46625294,3.17634819,2.72770264,0.78134261,-0.95975876,103.29820504,0.53108788,1.44605309,0.00632998,66.14410756,1.26647896,0.00194725,17,3,0,2025-01-23 17:45:00,2025-01-23 19:05:00,198534,198537,105599.40000000,3,0.75642054
3.10998696,0.01227400,2.49954532,0.00815011,0.00380930,2.13952955,0.00643915,1.08408386,1.81414564,1.68716153,3.36728819,3.09148144,0.84046990,-0.69143968,103.47737576,0.17917072,1.67535529,0.00881636,66.74349037,1.23114508,-0.00023074,18,3,0,2025-01-23 18:00:00,2025-01-23 18:14:00,198535,198538,105929.80000000,3,1.91225159
3.73320226,0.01007727,1.70921792,0.00638599,0.00377093,1.69347648,0.01183765,0.01812807,0.72527129,0.92789926,-0.15748308,2.33839664,0.64914024,-1.87124730,100.12700668,-0.45999593,0.97215444,0.01368645,50.84890727,1.75694083,0.02205142,20,3,0,2025-01-23 20:45:00,2025-01-23 20:45:00,198549,198549,104875.20000000,0,0.00000000
3.94038560,0.01142783,1.83713013,0.00715951,0.00391265,1.82983760,0.02350457,-1.17878041,-0.64362040,-0.48365516,-1.65633755,0.85248183,0.37282842,-2.99406394,98.13095299,-1.99605369,-0.44249961,-0.00640310,38.88147930,1.68776630,-0.01660404,21,3,0,2025-01-23 21:00:00,2025-01-23 21:17:00,198549,198550,103275.20000000,1,-2.54270473
3.97052730,0.01165614,1.85920078,0.00652899,0.00390728,1.67097917,0.00735002,-1.32834463,-0.90468113,-0.77640815,-2.96564042,0.46252955,0.30718861,-3.25429420,97.46962269,-0.66133030,-0.73282456,-0.01089222,34.95935875,1.16959064,0.00250061,21,3,0,2025-01-23 21:15:00,2025-01-23 21:18:00,198549,198551,102927.90000000,2,-3.09463057
