ticket,open_time,close_time,signal_time,origin_bar,leg,entry_bar,exit_bar,entry_price,exit_price,exit_reason,pl_pct,R,bars_held,row_id,chunk,probability_random_kfold,fold_random_kfold,probability_grouped_kfold,fold_grouped_kfold,probability_walk_forward,fold_walk_forward,probability_purged_walk_forward,fold_purged_walk_forward
12307,2023-09-15 23:00:00,2023-09-15 23:00:00,2023-09-15 22:15:00,155917,3,155920,155920,26708.2,26692.2,Friday,-0.059906695322,-0.0998444922034,0,19687,4,0.569801563068,1,0.457019743973,2,0.243626510378,3,0.212793363186,3
12308,2023-09-15 23:15:00,2023-09-15 23:15:00,2023-09-15 23:15:00,155921,0,155921,155921,26689.2,26613.8,Friday,-0.28251127797,-0.47085212995,0,19688,4,0.383010256025,4,0.474806664629,3,0.244097678336,3,0.259300694428,3
12309,2023-09-16 00:30:00,2023-09-16 04:00:00,2023-09-16 00:00:00,155924,2,155926,155940,26597.9,26529.8695556,Stop,-0.255773743207,-0.426289572012,14,19698,4,0.51454640441,3,0.3314862593,2,0.705831719693,3,0.602656192579,3
12310,2023-09-16 00:45:00,2023-09-16 04:00:00,2023-09-16 00:00:00,155924,3,155927,155940,26564.3,26530.2917778,Stop,-0.128022278856,-0.21337046476,13,19699,4,0.500007769595,3,0.286131812794,2,0.826978569177,3,0.768864237295,3
12311,2023-09-16 12:00:00,2023-09-17 21:00:00,2023-09-16 12:00:00,155972,0,155972,156104,26495.1,26394.0726667,Stop,-0.381305725713,-0.635509542855,132,19700,4,0.450071837914,4,0.255169392986,1,0.660472270181,3,0.558960236013,3
12312,2023-09-16 12:30:00,2023-09-17 01:00:00,2023-09-16 12:00:00,155972,2,155974,156024,26499.3,26400.0835556,Stop,-0.374411567266,-0.624019278776,50,19702,4,0.469098183201,2,0.388333593703,1,0.615520627561,3,0.498135347604,3
12313,2023-09-16 12:45:00,2023-09-17 01:00:00,2023-09-16 12:00:00,155972,3,155975,156024,26515,26400.8435556,Stop,-0.430535336392,-0.717558893987,49,19703,4,0.575443790798,2,0.519553245192,1,0.68945190641,3,0.686606099667,3
12314,2023-09-18 02:45:00,2023-09-18 13:15:00,2023-09-18 02:45:00,156127,0,156127,156169,26585.1,27243.8777778,Stop,2.47799623766,4.12999372943,42,19704,4,0.703544785936,4,0.415226059654,1,0.627037117609,3,0.396874598059,3
12315,2023-09-18 03:00:00,2023-09-18 13:15:00,2023-09-18 02:45:00,156127,1,156128,156169,26632.5,27241.4837778,Stop,2.28661889713,3.81103149521,41,19705,4,0.720180615496,3,0.561566928076,1,0.598830873364,3,0.399092076685,3
12316,2023-09-18 03:15:00,2023-09-18 13:30:00,2023-09-18 02:45:00,156127,2,156129,156170,26575.7,27240.2297778,Stop,2.50051655376,4.1675275896,41,19706,4,0.7196155914,5,0.384542950675,1,0.674223559819,3,0.516908535642,3
12317,2023-09-18 03:30:00,2023-09-18 13:30:00,2023-09-18 02:45:00,156127,3,156130,156170,26603.5,27239.1446667,Stop,2.38932721885,3.98221203142,40,19707,4,0.80171491561,4,0.41956440783,1,0.641208417471,3,0.523373611547,3
12318,2023-09-18 13:30:00,2023-09-18 17:15:00,2023-09-18 13:30:00,156170,0,156170,156185,27243.3,27120.1177778,Stop,-0.452156024499,-0.753593374164,15,19708,4,0.577817094768,1,0.74475711901,3,0.655244519757,3,0.497842587737,3
12319,2023-09-18 13:45:00,2023-09-18 17:15:00,2023-09-18 13:30:00,156170,1,156171,156185,27209,27118.5048889,Stop,-0.332592565368,-0.554320942281,14,19709,4,0.381942446502,2,0.79254435858,3,0.72098204628,3,0.392389857965,3
12320,2023-09-18 14:00:00,2023-09-18 17:15:00,2023-09-18 13:30:00,156170,2,156172,156185,27221.8,27116.1193333,Stop,-0.38822071526,-0.647034525433,13,19710,4,0.591162539175,1,0.791099030439,3,0.528294945203,3,0.352475581019,3
12321,2023-09-18 14:15:00,2023-09-18 17:15:00,2023-09-18 13:30:00,156170,3,156173,156185,27163.7,27111.5931111,Stop,-0.191825446787,-0.319709077978,12,19711,4,0.485680872047,2,0.800394588092,3,0.573327957643,3,0.576766007087,3
12322,2023-09-18 17:30:00,2023-09-18 17:30:00,2023-09-18 17:30:00,156186,0,156186,156186,26878.9,26717.6266,Stop,-0.6,-1,0,19712,4,0.3969663387,5,0.493791441421,4,0.335481344961,3,0.310967932649,3
12323,2023-09-18 18:15:00,2023-09-18 18:30:00,2023-09-18 17:30:00,156186,3,156189,156190,26789.9,26629.1606,Stop,-0.6,-1,1,19718,4,0.403585998559,5,0.374243851687,4,0.209147008287,3,0.357421358031,3
