ticket,open_time,close_time,signal_time,origin_bar,leg,entry_bar,exit_bar,entry_price,exit_price,exit_reason,pl_pct,R,bars_held,row_id,chunk,probability_random_kfold,fold_random_kfold,probability_grouped_kfold,fold_grouped_kfold,probability_walk_forward,fold_walk_forward,probability_purged_walk_forward,fold_purged_walk_forward
11079,2023-02-02 15:45:00,2023-02-02 19:15:00,2023-02-02 15:00:00,136320,3,136323,136337,23759.8,23788.306,Stop,0.119975757372,0.19995959562,14,17543,4,0.539966757897,3,0.595460531795,4,0.52018638601,3,0.566993847218,3
11080,2023-02-02 19:30:00,2023-02-02 21:30:00,2023-02-02 19:30:00,136338,0,136338,136346,23798.7,23655.9078,Stop,-0.6,-1,8,17544,4,0.468464156343,4,0.51682343508,2,0.524529807934,3,0.453891403211,3
11081,2023-02-02 19:45:00,2023-02-02 21:30:00,2023-02-02 19:30:00,136338,1,136339,136346,23719.6,23599.0557778,Stop,-0.50820512244,-0.8470085374,7,17545,4,0.365153841438,3,0.496700500142,2,0.382392303872,3,0.37885928797,3
11082,2023-02-02 20:00:00,2023-02-02 21:30:00,2023-02-02 19:30:00,136338,2,136340,136346,23768.3,23625.6902,Stop,-0.6,-1,6,17546,4,0.375794918082,2,0.375172323534,2,0.373142762551,3,0.372447715983,3
11083,2023-02-03 01:00:00,2023-02-03 08:00:00,2023-02-03 00:30:00,136358,2,136360,136388,23523.8,23382.6572,Stop,-0.6,-1,28,17550,4,0.30533390378,2,0.398388692585,5,0.578095753461,3,0.468028477447,3
11084,2023-02-03 01:15:00,2023-02-03 02:30:00,2023-02-03 00:30:00,136358,3,136361,136366,23532,23390.808,Stop,-0.6,-1,5,17551,4,0.370563067121,1,0.41105903354,5,0.478840464297,3,0.440507265159,3
11085,2023-02-03 02:45:00,2023-02-03 13:30:00,2023-02-03 02:45:00,136367,0,136367,136410,23394.8,23254.4312,Stop,-0.6,-1,43,17552,4,0.417158455883,4,0.51325678015,3,0.734721872453,3,0.770047939024,3
11086,2023-02-03 03:15:00,2023-02-03 13:30:00,2023-02-03 02:45:00,136367,2,136369,136410,23401.3,23260.8922,Stop,-0.6,-1,41,17554,4,0.492834696161,1,0.538279636999,3,0.535637535775,3,0.476279595048,3
11087,2023-02-04 03:15:00,2023-02-04 23:30:00,2023-02-04 02:30:00,136462,3,136465,136546,23309.9,23317.096,Stop,0.0308710033076,0.0514516721793,81,17559,4,0.561589804809,4,0.547947717513,2,0.697625976684,3,0.628978267704,3
11088,2023-02-05 07:15:00,2023-02-05 12:45:00,2023-02-05 07:15:00,136577,0,136577,136599,23354,23263.0764444,Stop,-0.389327547981,-0.648879246635,22,17560,4,0.627730389859,4,0.778755941569,2,0.799373950086,3,0.595112587814,3
11089,2023-02-05 07:30:00,2023-02-05 12:45:00,2023-02-05 07:15:00,136577,1,136578,136599,23351.8,23262.688,Stop,-0.381606557096,-0.636010928494,21,17561,4,0.599314374595,4,0.80540286778,2,0.800646601288,3,0.561949206406,3
11090,2023-02-05 07:45:00,2023-02-05 12:45:00,2023-02-05 07:15:00,136577,2,136579,136599,23352.8,23262.7513333,Stop,-0.385601155607,-0.642668592679,20,17562,4,0.534291569453,5,0.75387336785,2,0.80404667839,3,0.692331615876,3
11091,2023-02-05 08:00:00,2023-02-05 12:45:00,2023-02-05 07:15:00,136577,3,136580,136599,23346,23263.3973333,Stop,-0.353819355207,-0.589698925345,19,17563,4,0.416002115801,5,0.646074254426,2,0.747378519446,3,0.549486446652,3
11092,2023-02-07 06:30:00,2023-02-07 18:15:00,2023-02-07 06:30:00,136766,0,136766,136813,22936.2,23104.9606667,Stop,0.735783027122,1.2263050452,47,17564,4,0.788322175284,2,0.642438181307,4,0.438624636467,3,0.508045025364,3
